空天姬预设,9.1475.202510110438
说明,更新几个做宇宙肝武的预设 任务详见 https://nga.178.com/read.php?tid=45168885；修复一堆不开收藏品的预设；更新鳐鳐黄金鳗以及7.3鱼王；其余预设请见 https://docs.qq.com/sheet/DVlNaQ012amF4SW1G?tab=yirja0
杂项,1//预设分级：非预设
测试,平钓【万能拟饵|29717】》全部=【任何】；引诱；//预设分级：最优化
全提,平钓【万能拟饵|29717】》全部//预设分级：最优化
耐心全提,耐心【万能拟饵|29717】》全部》全部》全部》全部//预设分级：最优化
攒鱼计,平钓【万能拟饵|29717】》全部=攒鱼计；//预设分级：最优化
练级,耐心【万能拟饵|29717】》全部=大尺寸；//预设分级：最优化
近东虾,平钓【青花鱼块|36593】》22~！双重@拍水16~！【占位】@专一【近东虾|38935】//预设分级：最优化
星尘虾,平钓【深红沙蚕|43850】》！@专一【星尘虾|43668】=引诱、不撒饵；//星尘虾//预设分级：最优化
黄金鳗,平钓【红蛆|43858】》~19！！@拍水！！【亚斯拉尼弓鳍鱼|43773】@专一【黄金鳗|46188】三提=不撒饵；//预设分级：有效的
云旗鱼,平钓【仙人刺拟饵|43853】》~23！！@专一【云旗鱼|44347】双提=不撒饵、多提；//素材鱼//预设分级：合格的
巧儿海陆行鸟,耐心【沙蚕|2585】@0802-1600》！》！！》23~！！！=【巧儿海陆行鸟|20524】；//预设分级：有效的
魔法水桶,平钓【残暴水蛭|12711】》！！！@拍水【妖祸克拉肯|14219】=【魔法水桶|15439】；钓组；//预设分级：最优化
鳐鳐,平钓【蜻蜓|43857】》！！！@拍水！！【佐戈蝎|43759】=【鳐鳐|46779】；//预设分级：无错误
桶眼鱼,耐心【天钢之球|30136】@（打雷|9）》！》16~25.5！！=收藏品、大尺寸；//预设分级：有效的
灵岩之剑,耐心【万能拟饵|29717】》（！）6.5+12~10.7+20.6！！@专一【灵岩之剑|36473】》8.5~！！=收藏品、大尺寸、不撒饵；//効率4600//预设分级：有效的
